id;entity_type;entity_id;payload;status;retry_count;created_at_utc;last_attempt_utc
1;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770717030744_28.589919_77.434888;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5899188,"longitude":77.4348877,"accuracy":12.847000122070312,"speed":0.0,"timestamp_utc":"2026-02-10T09:50:30.744452Z"};FAILED;1;2026-02-10T09:50:30.780500Z;
2;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770717277600_28.589928_77.434885;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.589928,"longitude":77.4348848,"accuracy":20.097000122070312,"speed":0.5216333270072937,"timestamp_utc":"2026-02-10T09:54:37.600682Z"};FAILED;1;2026-02-10T09:54:37.627693Z;
3;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770717487589_28.589984_77.434872;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5899845,"longitude":77.4348722,"accuracy":20.884000778198242,"speed":0.9858522415161133,"timestamp_utc":"2026-02-10T09:58:07.589580Z"};FAILED;1;2026-02-10T09:58:07.614569Z;
4;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770717502594_28.590064_77.434856;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5900639,"longitude":77.4348564,"accuracy":46.89699935913086,"speed":0.6835039854049683,"timestamp_utc":"2026-02-10T09:58:22.594638Z"};FAILED;1;2026-02-10T09:58:22.619931Z;
5;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770717520589_28.590235_77.434754;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5902353,"longitude":77.434754,"accuracy":32.641998291015625,"speed":1.1407204866409302,"timestamp_utc":"2026-02-10T09:58:40.589752Z"};FAILED;1;2026-02-10T09:58:40.604061Z;
6;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770717570569_28.590437_77.434673;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.590437,"longitude":77.4346727,"accuracy":48.56800079345703,"speed":0.9724834561347961,"timestamp_utc":"2026-02-10T09:59:30.569093Z"};FAILED;1;2026-02-10T09:59:30.591077Z;
7;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770717590531_28.590260_77.434683;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5902596,"longitude":77.4346833,"accuracy":62.2239990234375,"speed":0.7881552577018738,"timestamp_utc":"2026-02-10T09:59:50.531801Z"};FAILED;1;2026-02-10T09:59:50.543814Z;
8;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770717600576_28.590435_77.434647;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5904347,"longitude":77.4346471,"accuracy":51.03900146484375,"speed":0.579990565776825,"timestamp_utc":"2026-02-10T10:00:00.576408Z"};FAILED;1;2026-02-10T10:00:00.590577Z;
9;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770717610610_28.590213_77.434787;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5902132,"longitude":77.4347873,"accuracy":22.913000106811523,"speed":1.19548499584198,"timestamp_utc":"2026-02-10T10:00:10.610144Z"};FAILED;1;2026-02-10T10:00:10.622393Z;
10;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770717640570_28.590075_77.434844;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5900745,"longitude":77.4348436,"accuracy":12.335000038146973,"speed":1.1097139120101929,"timestamp_utc":"2026-02-10T10:00:40.570684Z"};FAILED;1;2026-02-10T10:00:40.588386Z;
11;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770717997766_28.589983_77.434886;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5899826,"longitude":77.4348863,"accuracy":21.475000381469727,"speed":0.7008060812950134,"timestamp_utc":"2026-02-10T10:06:37.766682Z"};FAILED;1;2026-02-10T10:06:37.807115Z;
12;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718070894_28.589948_77.434906;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.589948,"longitude":77.4349063,"accuracy":25.648000717163086,"speed":0.5250330567359924,"timestamp_utc":"2026-02-10T10:07:50.894089Z"};FAILED;1;2026-02-10T10:07:50.964507Z;
13;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718108589_28.590015_77.434903;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5900146,"longitude":77.4349033,"accuracy":33.8380012512207,"speed":0.5105001330375671,"timestamp_utc":"2026-02-10T10:08:28.589595Z"};FAILED;1;2026-02-10T10:08:28.608796Z;
14;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718157704_28.589945_77.434855;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5899446,"longitude":77.4348549,"accuracy":80.6500015258789,"speed":0.9125949740409851,"timestamp_utc":"2026-02-10T10:09:17.704090Z"};FAILED;1;2026-02-10T10:09:17.714203Z;
15;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718170482_28.590170_77.435155;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5901699,"longitude":77.4351546,"accuracy":31.743999481201172,"speed":2.0701944828033447,"timestamp_utc":"2026-02-10T10:09:30.482725Z"};FAILED;1;2026-02-10T10:09:30.496719Z;
